x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002281	0.240875	[]
4	4	0x60243330	12	0.001009	0.090696	[]
4	4	0x6024333c	52	0.000936	0.423858	[]
4	4	0x60243370	16	0.000936	0.130370	[]
4	4	0x60451ed0	72	0.001122	0.489421	[]
4	4	0x60451f18	12	0.000932	0.098231	[]
4	4	0x60451f24	6836	0.004452	11.715281	[]
4	4	0x604539d8	12	0.001050	0.087176	[]
4	4	0x604539e4	40	0.000888	0.343637	[]
4	4	0x60453a0c	2000	0.001863	8.190778	[]
4	4	0x6045482c	516	0.001006	3.913930	[]
4	4	0x60454a88	4	0.000887	0.034389	[]
4	4	0x60454a8c	404	0.001040	2.964556	[]
4	4	0x60454c20	4	0.001044	0.029233	[]
4	4	0x60454c60	24	0.000865	0.211698	[]
4	4	0x60454c78	20	0.001017	0.149970	[]
